MONTH,ZONE,SUM_CRASHES
1,3,499
1,4,3503
1,5,1879
1,7,361
1,8,4732
1,9,7292
1,10,3508
1,12,861
1,13,8596
1,14,12301
1,15,5
1,16,159
1,17,2349
1,18,6276
1,19,5113
2,3,423
2,4,3465
2,5,1921
2,7,364
2,8,4762
2,9,7303
2,10,3540
2,12,770
2,13,8364
2,14,12365
2,15,3
2,16,166
2,17,2334
2,18,6296
2,19,4991
3,3,418
3,4,3691
3,5,1971
3,7,380
3,8,4781
3,9,7973
3,10,3590
3,12,802
3,13,8923
3,14,12724
3,15,1
3,16,155
3,17,2226
3,18,6032
3,19,4816
4,3,391
4,4,3533
4,5,1780
4,7,388
4,8,4579
4,9,7692
4,10,3702
4,12,793
4,13,9097
4,14,11998
4,15,2
4,16,146
4,17,2144
4,18,5657
4,19,4897
5,3,489
5,4,4229
5,5,2089
5,7,410
5,8,5300
5,9,8963
5,10,4081
5,12,933
5,13,10725
5,14,14020
5,15,1
5,16,174
5,17,2407
5,18,6609
5,19,5681
6,3,498
6,4,4373
6,5,2116
6,7,413
6,8,5186
6,9,8749
6,10,4033
6,12,962
6,13,10848
6,14,14539
6,15,3
6,16,181
6,17,2467
6,18,6751
6,19,5923
7,3,439
7,4,4240
7,5,2162
7,7,396
7,8,5398
7,9,9012
7,10,4146
7,12,953
7,13,10618
7,14,15243
7,16,121
7,17,2356
7,18,6870
7,19,5841
8,3,453
8,4,3724
8,5,1977
8,7,394
8,8,4933
8,9,7827
8,10,3612
8,12,822
8,13,9422
8,14,13607
8,15,3
8,16,138
8,17,2141
8,18,6323
8,19,5382
9,3,448
9,4,3808
9,5,2033
9,7,385
9,8,5303
9,9,7833
9,10,3680
9,12,862
9,13,9712
9,14,13817
9,15,4
9,16,155
9,17,2432
9,18,6594
9,19,5314
10,3,510
10,4,4068
10,5,2158
10,7,403
10,8,5597
10,9,8409
10,10,3794
10,12,921
10,13,9895
10,14,14910
10,15,3
10,16,158
10,17,2748
10,18,7099
10,19,5619
11,3,452
11,4,3694
11,5,2002
11,7,405
11,8,5022
11,9,7631
11,10,3583
11,12,802
11,13,8902
11,14,13384
11,15,1
11,16,168
11,17,2474
11,18,6455
11,19,5113
12,3,505
12,4,3751
12,5,2075
12,7,387
12,8,5213
12,9,7786
12,10,3696
12,12,894
12,13,8963
12,14,13602
12,15,3
12,16,155
12,17,2563
12,18,6654
12,19,5050
